id,name,host,host_type,latitude,longitude,funnel_max_m,funnel_min_m,inner_max_m,inner_min_m,azimuth_deg,depth_m,reference_nac
22,Adams B 1,Adams B,impact_melt,-31.4121,65.6408,19.0,10.0,10.0,,110.0,9.0,
23,Adams B 2,Adams B,impact_melt,-31.5449,65.7223,21.0,17.0,14.0,,85.0,4.0,
24,Adams B 3,Adams B,impact_melt,-31.2886,65.7523,38.0,17.0,14.0,,135.0,2.0,
25,Aristarchus 1,Aristarchus,impact_melt,23.8889,312.3506,31.0,16.0,27.0,10.0,95.0,13.0,
26,Aristarchus 2a,Aristarchus,impact_melt,23.873,312.3029,22.0,18.0,19.0,16.0,35.0,5.0,
27,Aristarchus 2b,Aristarchus,impact_melt,23.8726,312.3053,22.0,13.0,13.0,7.0,165.0,14.0,
28,Aristarchus 2c,Aristarchus,impact_melt,23.8716,312.3098,38.0,35.0,22.0,16.0,145.0,14.0,
29,Aristarchus 3a,Aristarchus,impact_melt,23.9331,312.4076,30.0,25.0,25.0,18.0,50.0,13.0,
30,Aristarchus 3b,Aristarchus,impact_melt,23.9339,312.4084,23.0,18.0,18.0,8.0,60.0,10.0,
31,Aristarchus 3c,Aristarchus,impact_melt,23.9344,312.407,39.0,17.0,16.0,8.0,45.0,6.0,
32,Aristarchus 4,Aristarchus,impact_melt,23.914,312.3913,39.0,33.0,23.0,22.0,50.0,8.0,
33,Aristarchus 5,Aristarchus,impact_melt,23.5984,312.4196,30.0,16.0,21.0,7.0,75.0,,
34,Aristarchus 6,Aristarchus,impact_melt,23.4657,312.4235,24.0,18.0,12.0,7.0,120.0,11.0,
35,Aristarchus 7a,Aristarchus,impact_melt,23.4536,312.3967,20.0,16.0,16.0,11.0,45.0,7.0,
